article_url,all_names
https://www.thompsoncitizen.net/news/nickel-belt/garden-hill-fire-death-a-symptom-of-first-nations-underfunding-says-mp-niki-ashton-1.24084634,"Churchill-Keewatinook Aski,28;Garden Hill First Nation,188;First Nations,250;First Nations,449;Garden Hill,535;Third World,569;Services Minister Marc Miller,825;First Nation,998;First Nation,1200;First Nations,1340"
https://www.yukon-news.com/life/yukon-first-nation-firefighters-reflect-on-their-journey-to-australia-to-help-battle-wildfires/,"Two Yukon First Nations,24;Yukon First Nations Wildfire,265;Jordan Profeit,331;Tahltan Strong,789;Telegraph Creek,875;Yuin Aboriginal,945;New South,965;Yukon First Nations Wildfire,1728;Jordan Profeit,1765;Yukon First Nations Wildfire,1799;Simon Heestra,1886;New South Wales,1915;Yukon First Nations Wildfire,3781;Jordan Profeit,3807;Yukon First Nations Wildfire,3841;Fire Sticks Alliance Indigenous Corporation,4344;North American,4824;Yukon First Nation,5323;Beat The Heat,5391;First Nations,5700"
https://theturtleislandnews.com/index.php/2020/07/15/an-army-a-death-land-disputes-still-outstanding/,"Ipperwash Indigenous,290;Dudley George The,374;Ipperwash Provincial Park,412;Stoney Point,492;Kenneth Deane,748;Trial Subscription,854;Yearly Subscription,878"
https://globalnews.ca/news/7093153/blue-solidarity-anti-black-racism-study/,"York University,456;Mark Thomas,479;Steven Tufts,496;George Floyd,901;United States,993;United States,1325;George Floyd,2139;Toronto Police Association,2212;Canadian Police Association,2248;Black Lives,2496;Nova Scotia,2928;Indigenous Peoples,3591;Kimberly Murray,3631;Reconciliation Commission,3737;Elgin Street,3813;Black Cop,4327;Calvin Lawrence,4346;Calvin Lawrence,4446;Daniel Montsion,4533;Abdirahman Abdi,4767;Ottawa Citizen,5171;Black Lives Matter Toronto,7177;Andre Campbell,7652;Andre Campbell,7744;D'Andre Campbell,7862;Peel Regional Police,7888;D'Andre Campbell,8468;Mike McCormack,8596;Toronto Police Association,8645;Tom Stamatakis,8669;Vancouver Police Union,8721;Canadian Police Association,8778;Special Investigations Unit,9478;Black Lives,10204;Black Lives,10421;Black Lives Matter,10612;Toronto Police Service,11123;Pride Month,11465;Pride Month,11531;Blue Lives Matter,11717;Thin Blue,11735;George Floyd,12256;Sammy Yatim,13400;James Forcillo,13441;Canadian Association,14699;Human Rights Commission,15060"
https://calgarysun.com/news/crime/crown-seeks-up-to-12-years-in-prison-for-city-man-in-brutal-beating-death-of-girlfriend-in-motel-room/wcm/0b4d9ebb-c442-4abf-8453-743d64dbe428,"Cliffton James Spotted Eagle,224;Carla MacPhail,351;Sylvina Curley,378;Judge Brian Stevenson,518;Saskatchewan First Nation,806;Rebecca Snukal,1806;Spotted Eagle,2086"
https://lfpress.com/news/local-news/ipperwash-25-years-later-dudley-georges-brother-wont-and-cant-forget/wcm/4a1a4c15-17ac-400d-8fa5-611592f897ae/,"Stony Point First Nation,270;Dudley George,518;Kettle Point,1237;Lakota Mandoka,1655"
https://www.thewhig.com/opinion/columnists/canadas-first-indigenous-nurse-on-french-battlefields,"Edith Anderson Monture,289;Charlotte Edith Anderson,434;Ohsweken Reserve,494;Six Nations,558;Brantford Collegiate Institute,720;Indian Act,947;First Nations,1324;New Rochelle School,1473;New York City,1537;New Rochelle,1774;New York,1813;United States,1859;First World,1972;United States Army Nurse Corps,2060;Six Nations,2370;Buffalo Base Hospital,2718;Buffalo General Hospital,2798;General Hospital,2917;Six Nations,4061;Claybran Monture,4114;Ohsweken Red Cross,4415;Lee Alexander,4441;National History Museum,4475;Lady Willingdon Hospital,4537;Lord Willingdon,4598;Lady Willingdon,4625;Marie Brassey,4642;Charles Stewart,4759;Annual Report,4787;Indian Affairs,4823;Year Ended March,4848;Six Nations,5105;John Moses,5297;Jessica Deer,5329;Claybran Monture,5556;Edith Monture,5634;Saint John,5761;Anglican Cemetery,5780;First World War,5889;Edith Monture Avenue,5960;Edith Monture,6030;United States Army,6113;Edith Monture,6361"
https://www.miragenews.com/never-boring-new-book-recounts-life-and-legacy-of-composer-malcolm-forsyth/,"Malcolm Forsyth,16;National Arts Centre,155;Robin Elliot,317;National Arts Centre,546;Mary Ingraham,1464;Sound Studies Institute,1524;National Arts Centre,1782;Juno Award,1919;South Africa,2428;Edmonton Symphony Orchestra,2508;Canadian Indigenous,2829;Juno Awards,3261;Maureen Forrester,3378;Judith Forst,3395;Canadian Brass,3417;Helmut Brass,3433;Cape Town,3510;Tommy Banks,4716"
https://infotel.ca/newsitem/indigenous-black-activism/cp1147914408,"Geraldine Malone,107;Wilfrid Laurier University,226;Proclaiming Our Roots,290;United States,1035;George Floyd,1067;Idle No More,1531;Nickita Longman,1558;Shawn Johnston,1578;Black Lives Matter,1685;Wilfrid Laurier University,2092;Proclaiming Our Roots,2545;North Americas,2786;Seminole Wars,3138;Chief Arlen Dumas,3526;Manitoba Chiefs,3563;First Nations,3582;Correctional Investigator,4132;Ontario Human Rights Commission,4345;Canadian Press,5057"
https://www.thesuburban.com/news/city_news/assembly-of-first-nations-developing-anti-racism-action-plan/article_f6c1ac5d-e6a5-59c3-a3a5-2bf1b02ceca6.html,"First Nations,30;First Nations Quebec-Labrador,394;First Nations,935;First Nations,1008;First Nations,1298;Ghislain Picard,1374;First Nations,1545;First Nations,1946;Public Inquiry Commission,2615;Indigenous Peoples,2655;Viens Commission,2722;Premier Legault,2847;Indigenous Quebecers,3232;First Nations,3269;First Nations,3461;Most Quebecers,3511;Indigenous Quebecers,3570;First Nations,3594;Indigenous Quebecers,3676;First Nations,3712;First Nations,3835;First Nations,4035;Indigenous Quebecers,4099;First Nations,4293;Indigenous Quebecers,4322"
https://globalnews.ca/news/7182526/blood-tribe-police-kainai-reserve-chief-racism-rcmp/,"Blood Tribe,70;Kainai Chief Roy Fox,127;Blood Tribe,217;Global News,736;Blood Tribe,1293;Blood Tribe,1671;Kainai Reserve,1815;Chief Allan Adam,2663;Blood Tribe Police,3211;Blood Tribe Police Service,3288;Chief Fox,3520;Blood Tribe Reserve,4000;Blood Tribe,4128;Farica Prince,4186;Largest Indigenous,4808"
https://torontosun.com/news/local-news/joyce-echaquans-family-taking-legal-action-lawyer-says/wcm/98746ce1-1827-4010-889b-6298043c4916,"Indigenous Peoples,182;Atikamekw Nation,1304"
https://www.ctvnews.ca/canada/lucki-acknowledges-systemic-racism-in-rcmp-1.4982165,"Brenda Lucki,139;Prime Minister Justin Trudeau,635;Alberta First Nations,792;News Chief Anchor,876;Senior Editor Lisa LaFlamme,908;Commissioner Curtis Zablocki,1015;Deputy Commissioner Zablocki,1153;Commissioner Curtis Zablocki,2248;Brian Beresh,3328;First Nations,4173;Indigenous Peoples,4197;United States,4371;George Floyd,4407;Chantel Moore,4685;New Brunswick,4761;Regis Korchinski-Paquet,4831"
https://www.yorktonthisweek.com/opinion/columnists/politics-headway-made-on-first-nations-relations-1.24069041,"First Nations,706;First Nations,1003;Moose Jaw,1242;Prince Albert,1261;Colten Boushie,1377;Gerald Stanley,1430;Leo Lachance,1467;Prince Albert,1560;First Nations,1901;North Central Regina,1989;Gerald Stanley,2085;Minister Don Morgan,2646;First Nations,3149;First Culture,3184;Sixties Scoop,3344;First Nations,3369;Russell Mirasty,3495;Judges McAuley,3615;More First Nations,3681"
