article_url,counts
https://calgarysun.com/news/crime/crown-seeks-up-to-12-years-in-prison-for-city-man-in-brutal-beating-death-of-girlfriend-in-motel-room/wcm/0b4d9ebb-c442-4abf-8453-743d64dbe428,"KILL#911#inside#4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;CRISISLEX_CRISISLEXREC#911#inside#4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;CRISISLEX_T02_INJURED#911#inside#4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;CRISISLEX_T03_DEAD#911#inside#4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;CRISISLEX_T03_DEAD#911#inside#4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;KILL#911#inside#4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;CRISISLEX_CRISISLEXREC#911#inside#4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;CRISISLEX_T02_INJURED#911#inside#4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;CRISISLEX_T03_DEAD#911#inside#4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;CRISISLEX_T03_DEAD#911#inside#4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;"
https://lfpress.com/news/local-news/ipperwash-25-years-later-dudley-georges-brother-wont-and-cant-forget/wcm/4a1a4c15-17ac-400d-8fa5-611592f897ae/,KILL#1800##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#1800##1#Canada#CA#CA#60#-96#CA;
https://www.thewhig.com/opinion/columnists/canadas-first-indigenous-nurse-on-french-battlefields,"KILL#60##4#Brantford, Ontario, Canada#CA#CA08#43.1333#-80.2667#-561588;CRISISLEX_T03_DEAD#60##4#Brantford, Ontario, Canada#CA#CA08#43.1333#-80.2667#-561588;KILL#106##4#Brantford, Ontario, Canada#CA#CA08#43.1333#-80.2667#-561588;CRISISLEX_T03_DEAD#106##4#Brantford, Ontario, Canada#CA#CA08#43.1333#-80.2667#-561588;"
https://www.miragenews.com/never-boring-new-book-recounts-life-and-legacy-of-composer-malcolm-forsyth/,"KILL#74#just#4#Ottawa, Ontario, Canada#CA#CA08#45.4167#-75.7#-570760;CRISISLEX_T03_DEAD#74#just#4#Ottawa, Ontario, Canada#CA#CA08#45.4167#-75.7#-570760;"
https://infotel.ca/newsitem/indigenous-black-activism/cp1147914408,"KILL#3#Indigenous#4#Toronto, Ontario, Canada#CA#CA08#43.6667#-79.4167#-574890;CRISISLEX_T03_DEAD#3#Indigenous#4#Toronto, Ontario, Canada#CA#CA08#43.6667#-79.4167#-574890;"
https://www.thesuburban.com/news/city_news/assembly-of-first-nations-developing-anti-racism-action-plan/article_f6c1ac5d-e6a5-59c3-a3a5-2bf1b02ceca6.html,"KILL#8##4#Quebec, Quebec, Canada#CA#CA10#47.5#-72#-571850;"
https://globalnews.ca/news/7182526/blood-tribe-police-kainai-reserve-chief-racism-rcmp/,KILL#9##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#9##1#Canada#CA#CA#60#-96#CA;
https://torontosun.com/news/local-news/joyce-echaquans-family-taking-legal-action-lawyer-says/wcm/98746ce1-1827-4010-889b-6298043c4916,"KILL#8##4#Joliette, Quebec, Canada#CA#CA10#46.0333#-73.4333#-566869;CRISISLEX_T03_DEAD#8##4#Joliette, Quebec, Canada#CA#CA10#46.0333#-73.4333#-566869;"
https://www.ctvnews.ca/canada/lucki-acknowledges-systemic-racism-in-rcmp-1.4982165,KILL#8##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#8##1#Canada#CA#CA#60#-96#CA;
https://www.yorktonthisweek.com/opinion/columnists/politics-headway-made-on-first-nations-relations-1.24069041,"KILL#2##4#Prince Albert, Saskatchewan, Canada#CA#CA11#53.2#-105.75#-571717;CRISISLEX_T03_DEAD#2##4#Prince Albert, Saskatchewan, Canada#CA#CA11#53.2#-105.75#-571717;"
https://canadiandimension.com/articles/author/pam-palmater,"KILL#4##4#Turtle Island, British Columbia, Canada#CA#CA02#48.8833#-125.3#-575090;"
https://www.cbc.ca/news/canada/newfoundland-labrador/mamka-report-salmon-1.5417664,"KILL#6000000#farmed Atlantic salmon#4#Fortune Bay, Newfoundland, Canada#CA#CA05#47.25#-55.6667#-564841;KILL#6000000#farmed Atlantic salmon#4#Fortune Bay, Newfoundland, Canada#CA#CA05#47.25#-55.6667#-564841;KILL#200##4#Corner Brook, Newfoundland, Canada#CA#CA05#48.95#-57.9333#-563016;CRISISLEX_CRISISLEXREC#200##4#Corner Brook, Newfoundland, Canada#CA#CA05#48.95#-57.9333#-563016;CRISISLEX_T02_INJURED#200##4#Corner Brook, Newfoundland, Canada#CA#CA05#48.95#-57.9333#-563016;CRISISLEX_T03_DEAD#200##4#Corner Brook, Newfoundland, Canada#CA#CA05#48.95#-57.9333#-563016;CRISISLEX_T03_DEAD#200##4#Corner Brook, Newfoundland, Canada#CA#CA05#48.95#-57.9333#-563016;"
https://edmontonsun.com/news/rural-albertans-gather-for-anti-racism-protest-in-innisfail/wcm/44228d80-375c-4937-8c3d-3a440a703f17,PROTEST#300##1#Canada#CA#CA#60#-96#CA;KILL#9##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#9##1#Canada#CA#CA#60#-96#CA;PROTEST#2000##1#United States#US#US#39.828175#-98.5795#US;
